"text","webVideoUrl","createTime"
"Nasionalisme ✌🏼#indonesia🇮🇩 #japan🇯🇵 #kaburajadulu #joanna #indonesia #fyp #xyzbcafypシ ","https://www.tiktok.com/@anggitwahyuu/video/7470489585315925256","1739358901"
"#kaburajadulu  #kensuseijapan🇮🇩🇯🇵  #CapCut ","https://www.tiktok.com/@ruds_b/video/7471987202570996999","1739707594"
"#japan🇯🇵 engga sekaya elu sih, tapi y.t.t.a #jdmcars #kaburajadulu #timothyronald ","https://www.tiktok.com/@irfan_jdm/video/7473472927673961749","1740053523"
"#kaburajadulu  dari sisi orang crypto","https://www.tiktok.com/@nuel_41/video/7471546107735117063","1739604896"
"Membalas @Ninoy Aku dulu sambil sekolah SMA sambil kerja ngumpulin uang buat kursus bahasa.. #kaburajadulu #ragilmahardika #fypindonesia #fyp #diluarnegeri ","https://www.tiktok.com/@ragilmahardika/video/7471146211832122646","1739511796"
"eww #KaburAjaDulu ","https://www.tiktok.com/@sintaakkk/video/7470431453130542344","1739345368"
"Segampang ini cari duit di New York?! 🤯 #KerjaDiAmerika #cariduit #caricuan #lifehacks #anakrantau #kaburajadulu #lowongankerja #lowongankerjaluarnegeri #kerjadiluarnegeri #tinggaldiluarnegeri #perantau ","https://www.tiktok.com/@edwardhlm/video/7475173754822217002","1740449549"
"#KaburAjaDulu butuh perjuangan dan kesiapan mental tapi worth to try at least for the experiences 🇰🇷✨ Jadi… mending tetep kabur atau pulang ya 🤔","https://www.tiktok.com/@stevanyhany/video/7475256920421551415","1740468895"
"Mau ke Jerman... #anakbundacorla  #anakbunda  #foryoupage  #kaburajadulu ","https://www.tiktok.com/@anakbundacorla_fans/video/7474251002149965111","1740234678"
"Replying to @nevara🐚🪸🌸🌈 kalo opini kalian tentang #kaburajadulu gimana? ngobrol di comment yuk!❤️ #fyp #livingingermany #indonesianingermany ","https://www.tiktok.com/@aquirabllnd/video/7471177807201111351","1739519149"
"Jangan terlalu sombong untuk mengingat allah ya😌 @Zein el-fairuz  #reminder #allah❤️ #mengingat #sombong #kaburajadulu #fyp ","https://www.tiktok.com/@muhalhaqqi/video/7475094643294735671","1740431107"
